Tarih,Kumaş Kodu,Kalite Adı,Desen Adı,Varyant No,Firma Adı,Firma Ülkesi,Hammadde Kodu,Renk Adı,İplik Tipi,Kalite Tipi,Çözgü Adı,Kalite Grubu,Tezgah Kodu,İş Emri No,Proses Kodu,Sipariş No,Kumaş Grubu,İhtiyaç Kg
2024-09-02,1812-R41GC-R165-SD7812-00G1X1,RCQ.MALTA-R165,RCQ.MALTA HX 507,00G1X1,SANDERSON,UK,RCQPPH 1100 008,KAR,ATKI,SATEN,RCQPPH 1100/EKRU 1860 TEL,1800,S137,1721487,PP-89Y,SAN_00033,Jakarlı,14.992
2024-09-02,1812-S21EN-M4278-7410,RCQ.MALTA-S,RCQ.MALTA 02,7410,LARAMOB TEXTILE,IRAN,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S143,1721519,41,LAR_00092,Armürlü,60.986
2024-09-02,1812-S21EN-M4278-7410,RCQ.MALTA-S,RCQ.MALTA 02,7410,LARAMOB TEXTILE,IRAN,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S143,1721832,41,LAR_00092,Armürlü,84.709
2024-09-02,1812-S21EN-M4278-74EZ,RCQ.MALTA-S,RCQ.MALTA 02,74EZ,BRU TEXTILES,BELGIUM,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S143,1721518,PP-59X,BRUTEX_05651,Armürlü,52.932
2024-09-02,1812-S21EN-M4278-N774,RCQ.MALTA-S,RCQ.MALTA 02,N774,KÖKSAL MOBİLYA,TURKEY,RCQPPH 1100 008,KAR,ATKI,SATEN,RCQPPH 1100/KUM BEJI 1860 TEL,1800,S139,1721496,41,KSAL_00008,Armürlü,97.958
2024-09-02,1844-C21LE-M4668/5-7408,CAPRI-C,CAPRI BM 103,7408,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721988,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-C21LE-M4668/5-7475,CAPRI-C,CAPRI BM 103,7475,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721994,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-C21LE-M4668/5-74A6,CAPRI-C,CAPRI BM 103,74A6,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722008,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-C21LE-M4668/5-74J5,CAPRI-C,CAPRI BM 103,74J5,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722019,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-C21LE-M4668/5-74N9,CAPRI-C,CAPRI BM 103,74N9,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722024,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-D31LE-M4508/5-74A6,CAPRI-D,CAPRI BM 104,74A6,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722009,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-G21LF-SD5926/1-7408,CAPRI-G,CAPRI TR 102,7408,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721990,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-G21LF-SD5926/1-7411,CAPRI-G,CAPRI TR 102,7411,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721993,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-G21LF-SD5926/1-7482,CAPRI-G,CAPRI TR 102,7482,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721997,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-G21LF-SD5926/1-7490,CAPRI-G,CAPRI TR 102,7490,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721999,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-G21LF-SD5926/1-74A6-1,CAPRI-G,CAPRI TR 102,74A6-1,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722013,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-G21LF-SD5926/1-74J5,CAPRI-G,CAPRI TR 102,74J5,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722021,PP-06X-1,KRT-CAPRI,Jakarlı,1.519
2024-09-02,1844-G21LF-SD5926/1-74N9,CAPRI-G,CAPRI TR 102,74N9,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722028,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-H21LC-SD5926/2-7490-1,CAPRI-H,CAPRI FM 103,7490-1,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722001,PP-06X-1,KRT-CAPRI,Jakarlı,1.519
2024-09-02,1844-H21LC-SD5926/2-74A3,CAPRI-H,CAPRI FM 103,74A3,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722007,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-H21LC-SD5926/2-74A6-1,CAPRI-H,CAPRI FM 103,74A6-1,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722012,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-H21LC-SD5926/2-74N9,CAPRI-H,CAPRI FM 103,74N9,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722026,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-K21LD-M4668/6-7482,CAPRI-K,CAPRI BF 101,7482,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721995,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-K21LD-M4668/6-7491,CAPRI-K,CAPRI BF 101,7491,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722002,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-K21LD-M4668/6-74B3,CAPRI-K,CAPRI BF 101,74B3,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722014,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-K21LD-M4668/6-74CF,CAPRI-K,CAPRI BF 101,74CF,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722015,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-K21LD-M4668/6-74G1,CAPRI-K,CAPRI BF 101,74G1,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722016,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-K21LD-M4668/6-74G5,CAPRI-K,CAPRI BF 101,74G5,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722017,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-K21LD-M4668/6-74J5,CAPRI-K,CAPRI BF 101,74J5,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722018,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-K21LD-M4668/6-74L5,CAPRI-K,CAPRI BF 101,74L5,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722022,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-R21LC-R5-SD7244-7490-1,CAPRI-R5,CAPRI FM 101,7490-1,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722000,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-R21LC-R5-SD7244-74A6,CAPRI-R5,CAPRI FM 101,74A6,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722010,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-R21LC-R5-SD7244-74L5,CAPRI-R5,CAPRI FM 101,74L5,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722023,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-R21LC-R5-SD7244-74N9,CAPRI-R5,CAPRI FM 101,74N9,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1722025,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
2024-09-02,1844-R21LF-R4-SD7244-7408,CAPRI-R4,CAPRI TR 101,7408,TRENDSTORY,TURKEY,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S050,1721989,PP-06X-1,KRT-CAPRI,Jakarlı,0.203
